status_description,status_timestamp,zone_number,kerbsideid,location.lat,location.lon
Present,2023-11-28T23:35:32+00:00,,6934,-37.82008789716498,144.95730555908776
Unoccupied,2025-02-13T05:31:41+00:00,7480.0,56624,-37.8197729040899,144.95716028645603
Unoccupied,2025-01-21T02:13:44+00:00,7053.0,10287,-37.79491926425749,144.97141229186371
Unoccupied,2025-01-20T23:53:13+00:00,7049.0,10295,-37.795245956927744,144.9727365528309
Unoccupied,2025-01-20T20:40:40+00:00,7049.0,10294,-37.795229039525836,144.97258333501773
Present,2025-01-21T00:17:55+00:00,7049.0,10296,-37.79525835643487,144.97284901920167
Unoccupied,2025-01-21T03:10:07+00:00,7049.0,24425,-37.79517932433332,144.9721162023573
Present,2024-10-11T03:47:55+00:00,7549.0,66025,-37.81022571352348,144.9653774046867
Unoccupied,2024-10-01T23:17:12+00:00,7549.0,66061,-37.8101691211248,144.9657566431519
Unoccupied,2024-05-03T03:56:57+00:00,,22776,-37.82337001046017,144.96661886495528
Unoccupied,2024-10-11T05:10:42+00:00,7550.0,66033,-37.810383455394586,144.96483799782146
Present,2024-10-11T03:43:14+00:00,7549.0,66056,-37.8100665768745,144.9661034598762
Present,2025-01-22T06:57:20+00:00,7534.0,63234,-37.816841097323454,144.95810753535793
Present,2024-10-11T04:00:46+00:00,7549.0,66062,-37.81018811964185,144.96569164078795
Unoccupied,2024-05-03T04:21:09+00:00,,22772,-37.823420177807634,144.9668770118377
Present,2025-03-06T22:35:37+00:00,,62713,-37.81319239221083,144.9704750954116
Present,2025-06-07T23:44:32+00:00,7674.0,51834,-37.81433784981002,144.968802858015
Present,2025-06-03T03:36:50+00:00,7674.0,51824,-37.8145733924308,144.9689087192393
Unoccupied,2025-05-29T03:38:35+00:00,7345.0,63641,-37.813167907018794,144.96703581279206
Unoccupied,2025-05-26T05:52:26+00:00,7345.0,63639,-37.81310634815438,144.9672464995096
Present,2025-01-16T04:56:56+00:00,7053.0,10283,-37.79497966524963,144.9719705034874
Present,2025-01-18T04:03:08+00:00,7053.0,24369,-37.79506182972317,144.97271754964473
Present,2025-01-10T07:20:16+00:00,7053.0,24366,-37.79494701546585,144.97167049003838
Present,2025-01-17T20:39:32+00:00,7053.0,24367,-37.7949123189659,144.97134759145723
Unoccupied,2024-10-01T23:05:02+00:00,7549.0,66023,-37.81018704959345,144.96550959640288
Present,2024-03-22T09:43:24+00:00,7800.0,24510,-37.797278817028555,144.9576354188943
Unoccupied,2025-01-18T23:01:01+00:00,7049.0,10290,-37.79511384563001,144.97151325560708
Present,2025-03-25T19:39:30+00:00,7297.0,18078,-37.80801480988396,144.9728282657369
Present,2025-03-26T00:55:47+00:00,7297.0,18170,-37.8079726365175,144.9724521673065
Present,2024-10-01T23:28:21+00:00,7549.0,66016,-37.81005359443116,144.96596691247518
Present,2025-03-26T03:31:13+00:00,7297.0,18074,-37.80798108806593,144.97252750218678
Present,2024-10-01T23:26:43+00:00,7549.0,66021,-37.81014835868348,144.9656417510855
Present,2024-10-11T03:57:28+00:00,7550.0,66075,-37.81042604580227,144.96487703053606
Unoccupied,2025-02-28T03:48:11+00:00,7923.0,10831,-37.807064001548014,144.95493798507198
Unoccupied,2025-02-06T20:53:01+00:00,7923.0,10853,-37.80642003693526,144.95505290859828
Present,2025-05-31T23:00:36+00:00,7923.0,10858,-37.806269869690986,144.9550797465717
Present,2025-04-14T02:23:15+00:00,7218.0,57938,-37.82037346768652,144.95463055373497
Present,2025-04-14T01:50:21+00:00,7219.0,69975,-37.82248932751718,144.95277816994894
Present,2025-03-11T18:58:00+00:00,,17697,-37.82079972059559,144.94085212969856
Unoccupied,2025-06-11T10:54:02+00:00,7993.0,11258,-37.806773694429936,144.95425777658258
Present,2025-06-11T04:25:36+00:00,7993.0,11268,-37.80618678855514,144.95399001619174
Unoccupied,2025-06-12T22:58:23+00:00,7985.0,13138,-37.80845894053995,144.952789037199
Present,2025-06-12T07:45:52+00:00,7988.0,11239,-37.80648908388493,144.95387619148622
Unoccupied,2025-06-12T02:35:18+00:00,7985.0,13122,-37.80838886003194,144.9526230069885
Present,2025-06-16T02:55:00+00:00,7610.0,54547,-37.812636087207736,144.9594936414532
Unoccupied,2025-04-07T00:47:07+00:00,7081.0,8395,-37.80689361854845,144.97324406030737
Unoccupied,2024-12-16T20:23:55+00:00,7392.0,9382,-37.80269858597897,144.95808982173668
Unoccupied,2024-12-06T01:42:44+00:00,7018.0,26279,-37.8018999528026,144.96233770341735
Present,2024-11-28T02:57:41+00:00,7084.0,8738,-37.80224848587544,144.961350677226
Unoccupied,2024-11-27T22:25:48+00:00,7084.0,8742,-37.80226817919086,144.96152667783582
Present,2024-11-28T02:22:55+00:00,7084.0,8752,-37.80225168938629,144.9613799225275
Present,2024-11-28T02:50:49+00:00,7084.0,8754,-37.802216688584906,144.9610582939215
Unoccupied,2025-04-14T02:43:29+00:00,7218.0,57937,-37.820423666254094,144.95465361283914
Unoccupied,2024-03-07T02:08:19+00:00,7354.0,6369,-37.81867994915778,144.95579934684184
Unoccupied,2025-04-14T02:59:41+00:00,7218.0,57935,-37.82053114138522,144.95470260915596
Present,2025-02-28T00:25:04+00:00,7922.0,10801,-37.806122804123476,144.9552223687313
Unoccupied,2025-02-06T11:45:55+00:00,7923.0,10848,-37.80656731001003,144.95502658651594
Present,2025-06-07T23:47:02+00:00,7674.0,51826,-37.81452552939284,144.96888722038625
Present,2025-06-25T05:04:34+00:00,7459.0,61329,-37.8182163616712,144.96106306478598
Present,2025-02-12T22:59:26+00:00,,56623,-37.8198237617609,144.95718394732322
Unoccupied,2025-06-12T13:26:46+00:00,7985.0,13131,-37.808314705592316,144.95328919450915
Unoccupied,2023-01-15T17:01:33+00:00,7985.0,13140,-37.80851645356166,144.95258961438321
Unoccupied,2025-07-01T03:46:17+00:00,7930.0,9729,-37.81063959801361,144.9489331896371
Unoccupied,2025-07-01T02:13:46+00:00,7930.0,9733,-37.81054201993924,144.9491897644944
Unoccupied,2023-06-07T22:06:02+00:00,7924.0,11119,-37.805980641986054,144.95211845047334
Present,2025-06-16T02:24:45+00:00,7610.0,54552,-37.81237112920085,144.95937491992544
Present,2025-06-16T03:46:43+00:00,7610.0,54549,-37.81253584741609,144.9594489033752
Unoccupied,2025-06-18T21:42:46+00:00,7610.0,54540,-37.81217897491937,144.95941197530533
Present,2025-06-16T02:46:20+00:00,7610.0,54533,-37.812367060737046,144.95949773385078
Present,2025-07-01T00:14:29+00:00,7930.0,9737,-37.81032697555239,144.94975449627862
Unoccupied,2025-07-07T00:46:18+00:00,7936.0,11421,-37.812166585331795,144.95051937945937
Present,2025-07-01T04:33:52+00:00,7930.0,9728,-37.81066100459809,144.9488768305477
Unoccupied,2025-07-07T01:25:49+00:00,7936.0,11422,-37.81214783966169,144.95058571399068
Present,2025-07-06T21:47:33+00:00,,24527,-37.81221182156042,144.9507336003042
Unoccupied,2025-06-03T04:58:49+00:00,,52024,-37.812438425773976,144.9678062923956
Unoccupied,2025-06-03T04:49:45+00:00,7674.0,51841,-37.81416846039663,144.96872667889681
Present,2025-06-07T23:16:47+00:00,7674.0,51837,-37.81426349951171,144.96876939303223
Present,2025-06-03T03:53:08+00:00,7674.0,51827,-37.814502169560754,144.96887680361226
Present,2025-06-03T05:09:59+00:00,7634.0,52135,-37.81121091131325,144.96736838885369
Present,2025-06-04T22:00:53+00:00,7634.0,52129,-37.811378039874185,144.96744465923365
Unoccupied,2025-06-03T05:10:04+00:00,7625.0,52027,-37.81227741625465,144.96773303708386
Present,2025-06-12T21:21:00+00:00,7993.0,11257,-37.80682314214508,144.95428025752082
Unoccupied,2024-12-31T13:49:14+00:00,7923.0,10841,-37.806768406335635,144.95499064465525
Present,2025-06-04T23:12:28+00:00,,52025,-37.812385466383475,144.96778219516835
Present,2025-06-03T03:59:25+00:00,7674.0,51829,-37.81445232747655,144.96885430893008
Unoccupied,2025-06-03T04:20:27+00:00,7674.0,51825,-37.814549626195195,144.96889803832212
Unoccupied,2025-06-03T05:10:32+00:00,7626.0,52030,-37.81211109445785,144.9676573683725
Present,2025-06-02T22:35:37+00:00,7634.0,52137,-37.81116388827178,144.96734695313552
Present,2025-06-03T04:40:04+00:00,7625.0,52028,-37.812222331870224,144.96770797627687
Present,2025-06-03T03:40:30+00:00,7674.0,51856,-37.81436046663239,144.96869038794887
Unoccupied,2025-05-27T01:05:51+00:00,7345.0,63637,-37.8130661522097,144.96738396057447
Present,2025-06-16T03:25:19+00:00,7610.0,54550,-37.812471286354445,144.95941998962718
Unoccupied,2025-06-18T21:26:41+00:00,7610.0,54548,-37.81258515924318,144.95947090966894
Unoccupied,2025-06-12T22:35:40+00:00,7988.0,11240,-37.806540716388625,144.95389992266257
Unoccupied,2025-06-12T22:35:08+00:00,7988.0,11241,-37.80659234841795,144.95392365614023
Present,2025-06-18T21:07:47+00:00,7611.0,54545,-37.81274010605225,144.95954033700758
Unoccupied,2025-02-06T14:15:23+00:00,7923.0,10842,-37.80674267787403,144.9549952429489
Present,2025-06-01T03:16:00+00:00,7923.0,10862,-37.80609244133468,144.9551114583318
Unoccupied,2025-02-17T03:09:22+00:00,7923.0,10849,-37.80654207252063,144.95503109682932
Present,2025-06-01T02:56:52+00:00,7923.0,10852,-37.80644501974557,144.95504844281027
Present,2025-06-01T02:08:07+00:00,7923.0,10857,-37.806294598703644,144.95507532699042
Present,2025-06-16T00:01:40+00:00,7610.0,54534,-37.812343761941314,144.9594871104785
Unoccupied,2023-06-05T07:35:13+00:00,7924.0,11126,-37.806169736873,144.95208450475894
Unoccupied,2023-05-27T16:40:41+00:00,7924.0,11127,-37.80619292786605,144.9520803419266
Present,2025-07-01T02:14:26+00:00,7930.0,9732,-37.81056539924922,144.9491283293653
Unoccupied,2025-03-12T02:23:53+00:00,,17696,-37.82077818648608,144.94092655518352
Unoccupied,2025-04-14T02:06:40+00:00,,69960,-37.822214777183106,144.9537592878351
Present,2025-04-14T02:43:24+00:00,7219.0,69978,-37.82254360357769,144.95259033696777
Present,2025-04-13T20:34:19+00:00,7219.0,69966,-37.82232102797104,144.95335692206876
Present,2025-04-13T20:42:05+00:00,,69940,-37.82247677293327,144.9522590082511
Unoccupied,2025-04-14T03:01:40+00:00,7218.0,57940,-37.82027020009988,144.95458322910955
Present,2024-03-06T20:13:57+00:00,,23372,-37.818697732486505,144.95573756544826
Present,2025-04-13T20:29:07+00:00,7219.0,69943,-37.82250487011976,144.95216400545675
Present,2025-04-14T02:56:13+00:00,7219.0,69946,-37.82253375737386,144.95206800770742
Unoccupied,2024-06-16T21:36:41+00:00,7081.0,8396,-37.80684173874762,144.97325296739342
Unoccupied,2024-04-20T19:15:00+00:00,7725.0,9608,-37.803720972893885,144.94941015492924
Present,2024-12-16T22:35:55+00:00,7335.0,64142,-37.81672833513052,144.95487856504462
Present,2025-03-24T23:58:23+00:00,,64111,-37.816483482350726,144.95505857439656
Unoccupied,2025-03-25T00:02:09+00:00,,58113,-37.81766476874189,144.9536377149446
Present,2025-03-11T18:58:27+00:00,,17695,-37.820756478572605,144.9409998058623
Present,2025-03-25T19:30:42+00:00,7297.0,18075,-37.80798953911626,144.97260283708675
Present,2025-03-25T19:33:34+00:00,7297.0,18169,-37.80796424730201,144.97237739351775
Unoccupied,2024-08-18T11:06:20+00:00,7392.0,9380,-37.80292699065639,144.9581953326021
Unoccupied,2025-08-08T05:38:19+00:00,,62888,-37.81438973865933,144.96654638342596
Unoccupied,2025-08-08T06:56:40+00:00,7649.0,50632,-37.808873080497605,144.97189713888386
Unoccupied,2025-08-08T06:09:15+00:00,7649.0,50637,-37.80875480843041,144.97184279187314
Unoccupied,2025-08-08T06:55:30+00:00,7649.0,50639,-37.808707353974654,144.9718209857686
Unoccupied,2025-08-08T05:48:04+00:00,7649.0,50640,-37.808660179978915,144.97179932080303
Unoccupied,2025-08-08T05:05:19+00:00,7649.0,50643,-37.808589373656346,144.97176686270228
Present,2025-08-08T07:04:43+00:00,7556.0,65141,-37.810368469239876,144.9687950736765
Unoccupied,2025-08-08T07:11:23+00:00,7556.0,65140,-37.810360151885874,144.96882366467938
Present,2025-08-08T04:33:21+00:00,7556.0,65139,-37.8103516363898,144.96885285230542
Unoccupied,2025-08-08T07:11:38+00:00,7556.0,65137,-37.810334301158015,144.96891216705563
Unoccupied,2025-08-08T06:22:52+00:00,7556.0,65136,-37.81032556866694,144.96894199588996
Unoccupied,2025-08-08T07:05:57+00:00,7556.0,65135,-37.81031658628852,144.9689726149363
Present,2025-08-08T06:59:40+00:00,7556.0,65130,-37.81026342710544,144.96915418415912
Unoccupied,2025-08-08T07:02:43+00:00,7556.0,65129,-37.81025476640585,144.9691838165588
Unoccupied,2025-06-02T03:47:17+00:00,7767.0,65523,-37.81335468962813,144.95823713898977
Unoccupied,2025-06-02T08:12:31+00:00,7768.0,65518,-37.81320766564029,144.95874115957292
Unoccupied,2025-06-02T09:27:29+00:00,7768.0,65517,-37.81319042136519,144.9588003813769
Unoccupied,2025-06-02T07:36:40+00:00,7768.0,65515,-37.813128254688216,144.95901420809963
Unoccupied,2025-06-02T06:27:30+00:00,7566.0,65568,-37.813499880271024,144.95808871514726
Unoccupied,2025-04-10T01:52:25+00:00,7566.0,65565,-37.81347412665417,144.9581768886335
Unoccupied,2025-06-02T08:42:58+00:00,7566.0,65560,-37.81343025022676,144.95832711066356
Unoccupied,2025-06-02T06:03:55+00:00,7566.0,65559,-37.8134213075179,144.9583577289901
Unoccupied,2025-06-02T07:16:44+00:00,7566.0,65556,-37.81339527132031,144.95844687222694
Present,2025-06-02T05:50:06+00:00,7566.0,65551,-37.81332963316226,144.95867229615575
Present,2025-06-02T08:11:59+00:00,7566.0,65538,-37.81319676404733,144.95912719882205
Unoccupied,2025-06-02T08:49:39+00:00,7566.0,65537,-37.813188012095566,144.95915716252705
Present,2025-06-02T07:24:58+00:00,7566.0,65534,-37.81316183570986,144.95924678049406
Present,2025-06-02T07:56:47+00:00,7566.0,65531,-37.813135638415574,144.9593364688236
Unoccupied,2025-06-02T07:13:54+00:00,7566.0,65530,-37.813126917055136,144.95936632886213
Unoccupied,2025-06-02T08:44:47+00:00,7566.0,65527,-37.81308470590268,144.95951158908997
Unoccupied,2025-08-08T07:12:38+00:00,7610.0,54517,-37.812282774323805,144.9595816217158
Unoccupied,2025-08-08T07:02:53+00:00,7633.0,52120,-37.811130996115935,144.96745747467256
Unoccupied,2025-08-08T06:59:48+00:00,7503.0,67217,-37.81126203604447,144.95788515167453
Present,2025-08-08T06:18:14+00:00,7949.0,67319,-37.81203096427396,144.95520652801406
Unoccupied,2025-08-08T06:40:10+00:00,7498.0,67323,-37.81210381810383,144.95494975893916
Unoccupied,2025-08-08T02:27:37+00:00,7547.0,66429,-37.8132769911646,144.9548920632873
Present,2025-08-08T03:35:05+00:00,7547.0,66430,-37.81329741425104,144.95482100789945
Unoccupied,2025-08-08T03:31:56+00:00,7547.0,66431,-37.813323494283814,144.9547298672462
Unoccupied,2025-08-08T06:43:56+00:00,7455.0,61412,-37.818487336629275,144.96024806645505
Unoccupied,2025-08-08T07:13:09+00:00,7438.0,60739,-37.82082072074438,144.95633848342953
Unoccupied,2025-08-08T07:06:57+00:00,7638.0,51935,-37.813272765224156,144.96831366008084
Present,2025-08-08T06:38:16+00:00,7638.0,51928,-37.81348501062016,144.9684113895476
Present,2025-08-08T07:10:09+00:00,7638.0,51930,-37.81340749303787,144.96837524577256
Present,2025-08-08T07:11:49+00:00,7638.0,51931,-37.81338463077226,144.96836478187475
Present,2025-08-08T06:28:41+00:00,7638.0,51932,-37.813361220798626,144.96835416684405
Unoccupied,2025-08-08T07:08:08+00:00,7548.0,65862,-37.808955557681536,144.9698981649386
Present,2025-08-08T05:16:24+00:00,7548.0,65863,-37.808974945759374,144.96983154209187
Unoccupied,2025-08-08T07:13:09+00:00,7561.0,65833,-37.808896816634046,144.96992978550367
Unoccupied,2025-08-08T04:44:38+00:00,7561.0,65834,-37.80891545154011,144.96986556596156
Unoccupied,2025-08-08T06:51:17+00:00,7563.0,65836,-37.8089525716381,144.96973758829395
Present,2025-08-08T06:19:46+00:00,7548.0,65856,-37.808836973509045,144.9703056798137
Unoccupied,2025-08-08T02:40:39+00:00,7548.0,65855,-37.80882010318139,144.9703644306575
Unoccupied,2025-08-08T05:43:09+00:00,7763.0,65026,-37.809780944277975,144.97046816802302
Unoccupied,2025-08-08T05:40:17+00:00,,65021,-37.80967346794263,144.97083457232358
Unoccupied,2025-08-08T05:14:43+00:00,7570.0,65075,-37.810006553676985,144.97003041759416
Unoccupied,2025-08-08T07:02:02+00:00,7570.0,65074,-37.80999900178441,144.97005620734325
Unoccupied,2025-08-08T07:08:12+00:00,7570.0,65070,-37.80995805934285,144.97019604728666
Unoccupied,2025-08-08T07:12:11+00:00,7570.0,65066,-37.80991773076221,144.9703338093538
Unoccupied,2025-08-08T04:16:09+00:00,7570.0,65065,-37.809910311128576,144.97035915417365
Unoccupied,2025-08-08T05:56:18+00:00,7764.0,65019,-37.80964893705597,144.9709169353198
Present,2025-08-08T06:00:45+00:00,7570.0,65063,-37.80986340442115,144.97051957741644
Present,2025-08-08T06:16:00+00:00,7570.0,65062,-37.80984383399,144.97058642839502
Unoccupied,2025-08-08T07:01:29+00:00,7570.0,65057,-37.8097917677008,144.97076399805246
Present,2025-08-08T06:00:53+00:00,7570.0,65048,-37.80965891045284,144.97121818720672
Unoccupied,2025-08-08T06:07:01+00:00,7570.0,65046,-37.8096326687745,144.97130773358924
Present,2025-08-08T07:10:38+00:00,7570.0,65036,-37.80953617826503,144.97163714653533
Present,2025-08-05T00:55:12+00:00,7639.0,52216,-37.810219381758266,144.9670427256048
Present,2025-08-08T07:09:09+00:00,7639.0,52214,-37.810322721075494,144.96709005970536
Present,2025-08-08T06:54:22+00:00,7640.0,52212,-37.81042605056351,144.9671373266492
Present,2025-08-08T06:44:35+00:00,7640.0,52211,-37.81047780944391,144.96716062051107
Present,2025-08-08T04:43:01+00:00,7639.0,52233,-37.81016437697879,144.96689143607355
Present,2025-08-08T06:54:44+00:00,7639.0,52229,-37.81025740397943,144.96693451497464
Present,2025-08-08T06:29:13+00:00,7639.0,52228,-37.81028044883135,144.96694518657677
Present,2025-08-08T06:55:24+00:00,7639.0,52225,-37.81034895065827,144.96697690871835
Present,2025-08-08T07:06:03+00:00,7614.0,54633,-37.81160507701822,144.9591526582688
Present,2025-08-08T06:42:38+00:00,7614.0,54630,-37.81170020795702,144.95919613802207
Present,2025-08-08T05:53:17+00:00,7614.0,54625,-37.811842933414,144.95926050498542
Present,2025-08-08T05:59:18+00:00,7614.0,54624,-37.81186643750074,144.95927124752166
Unoccupied,2025-08-08T07:12:56+00:00,7365.0,62337,-37.817835191277894,144.95874617291366
Present,2025-08-08T07:10:25+00:00,7355.0,62238,-37.817181495005315,144.96101214226854
Unoccupied,2025-08-08T07:04:09+00:00,7355.0,62237,-37.81716336330803,144.96107544086362
Unoccupied,2025-08-08T07:13:04+00:00,7344.0,62211,-37.81703166066364,144.96096887234006
Unoccupied,2025-08-08T07:11:59+00:00,7344.0,62218,-37.81716677181272,144.96050051138852
Present,2025-08-08T05:49:58+00:00,7360.0,61720,-37.81378517411707,144.97208397025094
Present,2025-08-08T07:00:50+00:00,7360.0,61717,-37.81372902783631,144.97227583720053
Unoccupied,2025-08-08T06:55:42+00:00,7356.0,61910,-37.814820906790246,144.96855784841813
Unoccupied,2025-08-08T07:12:04+00:00,7359.0,61914,-37.814895832137886,144.96830203829683
Present,2025-08-08T06:45:20+00:00,7359.0,61923,-37.81506459313497,144.96772608979657
Present,2025-08-08T07:00:20+00:00,7356.0,61941,-37.81494900164732,144.96867536034765
Present,2025-08-08T06:02:36+00:00,,61942,-37.814969077124395,144.9686066197323
Present,2025-08-08T06:26:00+00:00,7359.0,61945,-37.81503490169031,144.96838251781696
Unoccupied,2025-08-08T04:37:30+00:00,7354.0,62418,-37.81857432698953,144.9556004387088
Present,2025-08-08T07:12:55+00:00,7357.0,62410,-37.81842681830983,144.95611514335633
Unoccupied,2025-08-08T06:44:05+00:00,,63961,-37.8155632882135,144.95890808331364
Unoccupied,2025-08-08T06:48:23+00:00,7339.0,63962,-37.81558328300279,144.95883870189178
Unoccupied,2025-06-03T04:05:48+00:00,7339.0,63964,-37.81561942220297,144.9587132570325
Present,2025-08-08T06:04:24+00:00,7626.0,52012,-37.81240305617494,144.96803830679937
Present,2025-08-08T06:01:00+00:00,7635.0,52319,-37.80917546237963,144.9665609881593
Unoccupied,2025-08-08T05:57:37+00:00,7635.0,52314,-37.80943345339895,144.96668025053106
Unoccupied,2025-08-08T07:13:17+00:00,,50218,-37.813027240435176,144.9736804716792
Present,2025-08-08T07:02:03+00:00,7648.0,50016,-37.81463780356575,144.97467993748148
Unoccupied,2025-08-08T06:05:14+00:00,7648.0,50012,-37.814846746523614,144.97477537635376
Present,2025-08-08T07:09:31+00:00,,50128,-37.813827068379794,144.97408761367018
Present,2025-08-08T06:48:01+00:00,7659.0,50127,-37.81388268742067,144.97411356824355
Unoccupied,2025-08-08T06:46:58+00:00,7647.0,50525,-37.80969053851695,144.97214651504885
Present,2025-08-08T06:14:10+00:00,,53211,-37.812854213077486,144.9626243940913
Unoccupied,2025-08-08T03:10:31+00:00,7474.0,56717,-37.81875300214385,144.95693807006973
Unoccupied,2025-08-08T06:32:34+00:00,7485.0,56911,-37.817028328018054,144.95614648347217
Unoccupied,2025-08-08T07:12:44+00:00,7485.0,56929,-37.81674568274913,144.95576852792365
Unoccupied,2025-08-08T07:04:20+00:00,,56610,-37.81999824238842,144.9575130747661
Unoccupied,2025-08-08T06:10:32+00:00,,56611,-37.81994434579434,144.95748786635886
Unoccupied,2025-08-08T06:51:04+00:00,7487.0,56828,-37.81767713241681,144.956195114485
Unoccupied,2025-08-08T06:56:01+00:00,7487.0,56827,-37.817727463662415,144.95621795351911
Unoccupied,2025-08-08T05:52:30+00:00,7488.0,56823,-37.81811848146147,144.9563958555991
Unoccupied,2025-08-08T04:51:45+00:00,7624.0,57313,-37.81303368849585,144.95430777285787
Unoccupied,2025-08-08T06:55:00+00:00,7621.0,57230,-37.813729014715705,144.95437806451176
Unoccupied,2025-08-08T07:05:04+00:00,7621.0,57227,-37.81390300308518,144.9544584045147
Unoccupied,2025-08-08T06:51:42+00:00,7622.0,57222,-37.81417147591114,144.95458321900304
Unoccupied,2025-08-08T05:52:54+00:00,7621.0,57212,-37.81397756150945,144.9547469022172
Unoccupied,2025-08-08T06:48:01+00:00,7621.0,57214,-37.813858907266834,144.954691700414
Unoccupied,2025-08-08T06:01:32+00:00,7696.0,53913,-37.81846334890325,144.96241565043712
Present,2025-08-08T06:03:04+00:00,7406.0,51442,-37.80857093499759,144.96895845596356
Unoccupied,2025-08-08T07:05:10+00:00,7406.0,51431,-37.80892154559864,144.96911973835807
Unoccupied,2025-08-08T05:47:01+00:00,7425.0,61545,-37.81926742928211,144.95770932065443
Unoccupied,2025-08-08T07:12:24+00:00,7425.0,61547,-37.81930428621163,144.95758236403657
Unoccupied,2025-08-08T03:23:13+00:00,7416.0,61247,-37.81770272307367,144.96281254166757
Unoccupied,2025-08-08T07:06:57+00:00,,61231,-37.81730369517773,144.96420756826834
Present,2025-08-08T06:47:28+00:00,7446.0,60132,-37.816261569015516,144.97184955455805
Unoccupied,2024-12-16T23:49:27+00:00,7509.0,66727,-37.80781497172843,144.97014875664445
Present,2024-12-17T00:58:08+00:00,7509.0,66728,-37.807833792216194,144.97008436497526
Unoccupied,2025-08-08T06:51:00+00:00,7705.0,55318,-37.811033752438306,144.95743158657334
Present,2025-08-08T06:39:58+00:00,7705.0,55313,-37.81119449777922,144.95750539048586
Present,2025-08-07T23:38:12+00:00,7542.0,66331,-37.81254443291941,144.95745637063015
Present,2024-04-03T23:18:00+00:00,7506.0,63334,-37.8174922362588,144.95589837165957
Unoccupied,2024-04-04T14:51:32+00:00,7537.0,63337,-37.81754767470018,144.95570625683084
Present,2024-04-03T22:49:13+00:00,7506.0,63360,-37.81798180273356,144.95419823407332
Present,2025-08-08T06:45:38+00:00,7506.0,63310,-37.81745233223719,144.95570051081125
Unoccupied,2025-08-08T06:33:21+00:00,7686.0,57925,-37.81956200920658,144.95450901453108
Present,2025-08-08T07:12:36+00:00,7686.0,57924,-37.819612429979095,144.95453219490963
Unoccupied,2025-08-08T06:52:38+00:00,,54249,-37.815591768624046,144.96084552253814
Unoccupied,2024-01-11T23:02:07+00:00,7951.0,23823,-37.81165263217245,144.95233721844727
Present,2024-01-11T22:58:57+00:00,7938.0,23819,-37.811578918396734,144.95259812888014
Present,2023-11-01T06:51:28+00:00,7089.0,16747,-37.802851692468245,144.96684067841218
Present,2023-11-01T07:49:14+00:00,7089.0,16745,-37.80285847413141,144.96690236819168
Present,2023-11-01T07:39:25+00:00,7089.0,16744,-37.802861950274846,144.96693353068628
Present,2024-03-20T22:03:53+00:00,7076.0,22345,-37.806362079329006,144.96584162315787
Unoccupied,2024-03-19T09:17:00+00:00,7090.0,22351,-37.80597752040859,144.96590740947426
Present,2024-04-05T01:57:01+00:00,7076.0,22326,-37.805815612597556,144.9661756391656
Present,2024-04-05T02:36:16+00:00,7076.0,22317,-37.80628844687699,144.96609349417764
Present,2024-10-10T21:40:32+00:00,7010.0,8888,-37.80493584201834,144.9599299457858
Present,2024-10-10T23:53:04+00:00,7010.0,8891,-37.8047825506759,144.959859492751
Present,2025-08-08T06:59:26+00:00,7725.0,9574,-37.804636610345014,144.94943973121786
